NM_MUNICIPIO,NM_VOTAVEL,SG_PARTIDO,QT_VOTOS,PERCENTAGE
BARUERI,BETO PITERI,REPUBLICANOS,105193,0.5648279898410108
BARUERI,GIL ARANTES,UNIÃO,81046,0.43517201015898926
DIADEMA,TAKA YAMAUCHI,MDB,116003,0.5259499725696979
DIADEMA,FILIPPI,PT,104556,0.4740500274303021
FRANCA,ALEXANDRE FERREIRA,MDB,82856,0.5863877309818187
FRANCA,JOÃO ROCHA,PL,58443,0.4136122690181813
GUARUJÁ,FARID MADI,PODE,83652,0.5538363755536576
GUARUJÁ,RAPHAEL VITIELLO,PP,67389,0.4461636244463424
GUARULHOS,LUCAS SANCHES,PL,361971,0.585461597435408
GUARULHOS,ELÓI PIETÁ,SOLIDARIEDADE,256295,0.41453840256459196
JUNDIAÍ,GUSTAVO MARTINELLI,UNIÃO,125712,0.5886936650058068
JUNDIAÍ,PARIMOSCHI,PL,87832,0.4113063349941932
LIMEIRA,MURILO FÉLIX,PODE,76049,0.5188083283305136
LIMEIRA,BETINHO NEVES,MDB,70535,0.48119167166948645
MAUÁ,MARCELO OLIVEIRA,PT,102115,0.5404854656701882
MAUÁ,ATILA,UNIÃO,86817,0.45951453432981176
PIRACICABA,HELINHO ZANATTA,PSD,106399,0.5361015377793902
PIRACICABA,BARJAS NEGRI,PSDB,92069,0.4638984622206099
RIBEIRÃO PRETO,RICARDO SILVA,PSD,131421,0.5013102935286377
RIBEIRÃO PRETO,MARCO AURELIO,NOVO,130734,0.49868970647136235
SANTOS,ROGÉRIO SANTOS,REPUBLICANOS,118562,0.5336928437030168
SANTOS,ROSANA VALLE,PL,103592,0.46630715629698316
SÃO BERNARDO DO CAMPO,MARCELO LIMA,PODE,205831,0.5574148296593187
SÃO BERNARDO DO CAMPO,ALEX MANENTE,CIDADANIA,163429,0.44258517034068134
SÃO JOSÉ DO RIO PRETO,CORONEL FABIO CANDIDO,PL,123349,0.5996606675806279
SÃO JOSÉ DO RIO PRETO,ITAMAR,MDB,82349,0.4003393324193721
SÃO JOSÉ DOS CAMPOS,ANDERSON,PSD,196462,0.5825635977072504
SÃO JOSÉ DOS CAMPOS,EDUARDO CURY,PL,140775,0.4174364022927496
SÃO PAULO,RICARDO NUNES,MDB,3393110,0.5935111896758638
SÃO PAULO,GUILHERME BOULOS,PSOL,2323901,0.40648881032413614
SUMARÉ,HENRIQUE DO PARAÍSO,REPUBLICANOS,72003,0.5822141003145442
SUMARÉ,WILLIAN SOUZA,PT,51668,0.41778589968545576
TABOÃO DA SERRA,ENGENHEIRO DANIEL,UNIÃO,89386,0.6627174187043106
TABOÃO DA SERRA,APRIGIO,PODE,45492,0.33728258129568944
TAUBATÉ,SERGIO VICTOR,NOVO,97450,0.6198399674337544
TAUBATÉ,ORTIZ JUNIOR,REPUBLICANOS,59768,0.3801600325662456
